t_s,regime,station,speed_mm_s,dist_mm,dist_lo_mm,dist_hi_mm,mm_past_prev_magnet,mm_before_next_magnet,hall_spread_counts,basis,verdict
36.43,ordinary,,112.4,22.5,19.6,25.4,31.0,150.8,23,"prior marker interval 2670 ms over surveyed spacing 300 mm, +/-13%",INSIDE the typical field
38.2,ordinary,,165.1,33.0,28.7,37.3,37.6,172.0,9,"prior marker interval 1817 ms over surveyed spacing 300 mm, +/-13%",clears typical field
39.651,ordinary,,203.9,40.8,35.5,46.1,42.2,172.3,21,"prior marker interval 1471 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
40.89,ordinary,,239.6,47.9,41.7,54.2,47.0,201.3,20,"prior marker interval 1252 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
42.124,ordinary,,242.7,48.5,42.2,54.9,47.1,211.4,21,"prior marker interval 1236 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
43.393,ordinary,,236.6,47.3,41.2,53.5,46.8,208.2,17,"prior marker interval 1268 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
44.67,ordinary,,231.6,46.3,40.3,52.3,45.6,189.6,16,"prior marker interval 1274 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
45.888,ordinary,,262.9,52.6,45.8,59.4,52.3,258.2,21,"prior marker interval 1217 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
47.278,ordinary,,217.1,43.4,37.8,49.1,45.2,245.3,12,"prior marker interval 1382 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
48.83,ordinary,,204.7,40.9,35.6,46.3,45.4,265.9,19,"prior marker interval 1539 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
50.567,ordinary,,185.8,37.2,32.3,42.0,44.2,211.1,26,"prior marker interval 1722 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
52.146,ordinary,,200.3,40.1,34.8,45.3,48.7,258.1,18,"prior marker interval 1573 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
53.866,ordinary,,187.6,37.5,32.7,42.4,43.3,266.8,19,"prior marker interval 1732 ms over surveyed spacing 325 mm, +/-13%",clears p95 field
55.725,ordinary,,169.8,34.0,29.5,38.4,40.2,209.5,19,"prior marker interval 1855 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
57.388,ordinary,,183.4,36.7,31.9,41.4,42.0,206.1,17,"prior marker interval 1663 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
58.915,ordinary,,191.6,38.3,33.3,43.3,38.9,212.6,21,"prior marker interval 1566 ms over surveyed spacing 300 mm, +/-13%",clears typical field
60.44,ordinary,,203.2,40.6,35.4,45.9,43.7,206.7,21,"prior marker interval 1501 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
61.858,ordinary,,208.9,41.8,36.4,47.2,42.0,208.7,18,"prior marker interval 1436 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
63.25,ordinary,,213.7,42.7,37.2,48.3,41.2,205.1,26,"prior marker interval 1404 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
64.592,ordinary,,218.7,43.7,38.1,49.4,39.8,198.8,18,"prior marker interval 1349 ms over surveyed spacing 295 mm, +/-13%",clears typical field
65.893,ordinary,,228.0,45.6,39.7,51.5,43.8,235.0,16,"prior marker interval 1294 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
67.318,ordinary,,211.1,42.2,36.7,47.7,41.0,249.8,18,"prior marker interval 1421 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
68.93,ordinary,,191.0,38.2,33.2,43.2,43.7,246.7,19,"prior marker interval 1571 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
70.641,ordinary,,173.1,34.6,30.1,39.1,37.9,224.5,22,"prior marker interval 1733 ms over surveyed spacing 300 mm, +/-13%",clears typical field
72.354,ordinary,,175.2,35.0,30.5,39.6,37.9,197.7,18,"prior marker interval 1712 ms over surveyed spacing 300 mm, +/-13%",clears typical field
73.903,ordinary,,195.4,39.1,34.0,44.2,43.2,205.2,18,"prior marker interval 1535 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
75.369,ordinary,,204.1,40.8,35.5,46.1,44.1,197.8,19,"prior marker interval 1470 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
76.751,ordinary,,214.7,42.9,37.4,48.5,45.5,212.0,23,"prior marker interval 1397 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
78.152,ordinary,,218.5,43.7,38.0,49.4,47.0,215.2,18,"prior marker interval 1396 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
79.551,ordinary,,215.4,43.1,37.5,48.7,46.1,215.1,19,"prior marker interval 1393 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
80.98,ordinary,,212.5,42.5,37.0,48.0,48.9,220.1,17,"prior marker interval 1412 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
82.436,ordinary,,208.2,41.6,36.2,47.1,45.8,201.1,17,"prior marker interval 1465 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
83.812,ordinary,,215.1,43.0,37.4,48.6,45.2,199.6,22,"prior marker interval 1395 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
85.141,ordinary,,224.9,45.0,39.1,50.8,45.2,216.3,21,"prior marker interval 1334 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
86.514,ordinary,,241.9,48.4,42.1,54.7,51.0,209.3,24,"prior marker interval 1364 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
87.782,ordinary,,234.7,46.9,40.8,53.1,47.7,198.1,21,"prior marker interval 1278 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
89.026,ordinary,,242.1,48.4,42.1,54.7,48.4,188.4,20,"prior marker interval 1239 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
90.19,ordinary,,257.0,51.4,44.7,58.1,47.8,179.9,20,"prior marker interval 1187 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
91.27,ordinary,,276.5,55.3,48.1,62.5,49.8,193.3,21,"prior marker interval 1085 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
92.353,ordinary,,279.9,56.0,48.7,63.2,51.5,198.1,20,"prior marker interval 1072 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
93.449,ordinary,,272.5,54.5,47.4,61.6,51.2,211.7,23,"prior marker interval 1101 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
94.631,ordinary,,259.5,51.9,45.2,58.7,53.2,212.8,26,"prior marker interval 1156 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
95.852,ordinary,,243.7,48.7,42.4,55.1,49.0,203.5,13,"prior marker interval 1231 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
97.078,ordinary,,242.1,48.4,42.1,54.7,46.2,200.0,19,"prior marker interval 1239 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
