clock,det_ms,det_idx,mm,pwm,station,side,level,mad,n,first_ms,last_ms,local_ref,reference,shadow_ref,log_lines
11:25:53.256,31610,0,40,68,IDLE,pre,1906,1,271,-462,-192,1894,1903,1904,3540 3541 3542
11:26:08.786,47140,12,28,105,IDLE,pre,1904,0,268,-462,-195,1904,1903,1904,3715 3716 3717
11:26:08.786,47140,12,28,105,IDLE,tail,1903,1,115,236,350,1904,1903,1904,3715 3716 3717
11:26:23.806,62154,22,18,60,ZONE,pre,1905,1,263,-462,-200,1895,1903,1904,3881 3882 3883
11:27:33.766,132123,39,1,90,IDLE,pre,1904,0,320,-462,-143,1907,1903,1904,4572 4573 4574
11:27:50.450,148811,49,162,60,ZONE,pre,1903,1,260,-462,-203,1911,1903,1904,4752 4753 4754
11:28:46.002,204362,55,156,66,DEPART,pre,1903,2,305,-462,-158,1895,1903,1901,5255 5256 5257
11:29:01.532,219888,67,144,90,IDLE,pre,1919,1,336,-462,-127,1909,1903,1919,5449 5450 5451
11:29:16.959,235317,79,132,90,IDLE,pre,1973,1,297,-462,-166,1957,1903,1974,5617 5618 5619
11:29:16.959,235317,79,132,90,IDLE,tail,1973,2,88,263,350,1957,1903,1974,5617 5618 5619
11:29:31.752,250114,91,120,90,IDLE,pre,1984,0,339,-462,-124,1970,1903,1984,5849 5850 5851
11:29:31.752,250114,91,120,90,IDLE,tail,1983,1,92,259,350,1970,1903,1984,5849 5850 5851
11:29:33.020,251366,92,119,90,IDLE,pre,1984,0,177,-462,-286,1970,1903,1984,5796 5797 5798
11:29:33.020,251366,92,119,90,IDLE,tail,1983,1,97,254,350,1970,1903,1984,5796 5797 5798
11:29:34.163,252522,93,118,88,APPROACH,pre,1985,1,248,-462,-140,1971,1903,1984,5843 5844 5845
11:29:34.163,252522,93,118,88,APPROACH,tail,1985,1,84,267,350,1971,1903,1984,5843 5844 5845
11:29:35.304,253662,94,117,82,APPROACH,pre,1989,1,259,-461,-143,1970,1903,1984,5840 5841 5842
11:29:36.225,254581,95,117,68,IDLE,pre,1990,1,249,-348,-100,1975,1903,1989,5837 5838 5839
11:36:21.585,659944,109,103,90,IDLE,pre,1963,1,258,-429,-172,1967,1903,1965,9087 9088 9089
11:36:37.676,676035,122,90,90,IDLE,pre,1966,1,142,-462,-168,1971,1903,1966,9273 9274 9275
11:36:52.862,691219,135,77,90,IDLE,pre,1984,0,157,-462,-148,1969,1903,1984,9445 9446 9447
11:37:08.669,707030,148,64,70,ZERO_RAMP,pre,1990,1,304,-462,-159,1985,1903,1987,9624 9625 9626
11:37:08.669,707030,148,64,70,ZERO_RAMP,tail,1994,1,62,289,350,1985,1903,1987,9624 9625 9626
11:37:10.557,708912,149,63,60,ZERO_RAMP,pre,1985,2,290,-459,-170,1991,1903,1989,10061 10062 10063
11:37:12.567,710923,150,62,50,ZERO_RAMP,pre,1997,2,140,-343,-204,1986,1903,1991,10058 10059 10060
11:37:58.090,756444,153,60,71,IDLE,pre,1984,0,303,-462,-160,1977,1903,1984,10049 10050 10051
11:37:58.090,756444,153,60,71,IDLE,tail,1989,1,55,296,350,1977,1903,1984,10049 10050 10051
11:40:16.794,895155,159,57,66,IDLE,pre,1949,1,253,-451,-199,1939,1903,1948,11212 11213 11214
11:40:47.783,926139,185,31,105,IDLE,pre,1946,1,209,-357,-149,1946,1903,1945,11563 11564 11565
11:40:47.783,926139,185,31,105,IDLE,tail,1943,2,127,224,350,1946,1903,1945,11563 11564 11565
11:41:03.384,941733,197,19,60,ZONE,pre,1950,1,273,-462,-190,1937,1903,1948,11744 11745 11746
11:41:58.796,997155,203,13,79,DEPART,pre,1936,0,292,-462,-171,1945,1903,1936,12255 12256 12257
11:42:13.913,1012271,215,1,90,IDLE,pre,1946,1,159,-318,-160,1949,1903,1947,12435 12436 12437
11:42:13.913,1012271,215,1,90,IDLE,tail,1943,1,82,259,340,1949,1903,1947,12435 12436 12437
11:42:30.194,1028553,225,162,60,ZONE,pre,1946,1,255,-462,-208,1956,1903,1947,12615 12616 12617
11:43:25.100,1083458,231,156,63,DEPART,pre,1942,1,177,-378,-202,1933,1903,1939,13116 13117 13118
11:43:40.402,1098758,243,144,90,IDLE,pre,1945,2,322,-462,-141,1947,1903,1945,13299 13300 13301
11:43:40.402,1098758,243,144,90,IDLE,tail,1941,2,126,225,350,1947,1903,1945,13299 13300 13301
11:43:55.566,1113921,255,132,90,IDLE,pre,1943,2,180,-327,-148,1947,1903,1947,13467 13468 13469
11:44:11.347,1129698,268,119,90,IDLE,pre,1947,1,283,-445,-163,1944,1903,1946,13646 13647 13648
11:44:11.347,1129698,268,119,90,IDLE,tail,1945,1,42,309,350,1944,1903,1946,13646 13647 13648
11:44:26.926,1145280,277,110,60,ZONE,pre,1944.5,1.5,184,-447,-158,1950,1903,1946,13812 13813 13814
11:45:32.503,1210859,293,94,90,IDLE,pre,1947,1,200,-348,-149,1945,1903,1947,14455 14456 14457
11:45:48.190,1226545,306,81,90,IDLE,tail,1943,2,112,239,350,1943,1903,1946,14634 14635 14636
11:46:03.331,1241687,320,67,72,ZONE,pre,1953,1,296,-462,-167,1943,1903,1952,14816 14817 14818
