kind,k,regime,mm_a0,mm_a1,mm_b0,mm_b1,pwm_a0,pwm_a1,pwm_b0,pwm_b1,level_a,level_b,signed,abs,sep_ms,det_ms,log_lines
A,11,ORDINARY,29,28,28,27,105,105,105,105,1904,1903,-1,1,431,47140,3715 3716 3717
A,78,ORDINARY,133,132,132,131,90,90,90,90,1973,1973,+0,0,429,235317,5617 5618 5619
A,90,ORDINARY,121,120,120,119,90,90,90,90,1984,1983,-1,1,383,250114,5849 5850 5851
B,90,ORDINARY,121,120,120,119,90,90,90,90,1984,1984,+0,0,1090,250114 251366,5849 5850 5851 5796 5797 5798
A,91,ORDINARY/APPROACH,120,119,119,118,90,90,90,88,1984,1983,-1,1,540,251366,5796 5797 5798
B,91,ORDINARY/APPROACH,120,119,119,118,90,90,90,88,1984,1985,+1,1,1302,251366 252522,5796 5797 5798 5843 5844 5845
A,92,APPROACH,119,118,118,117,90,88,88,82,1985,1985,+0,0,407,252522,5843 5844 5845
B,92,APPROACH,119,118,118,117,90,88,88,82,1985,1989,+4,4,1137,252522 253662,5843 5844 5845 5840 5841 5842
A,147,GRILLERS,65,64,64,63,72,70,70,60,1990,1994,+4,4,448,707030,9624 9625 9626
B,147,GRILLERS,65,64,64,63,72,70,70,60,1990,1985,-5,5,1871,707030 708912,9624 9625 9626 10061 10062 10063
B,148,GRILLERS,64,63,63,62,70,60,60,50,1985,1997,+12,12,1977,708912 710923,10061 10062 10063 10058 10059 10060
A,184,ORDINARY,32,31,31,30,105,105,105,105,1946,1943,-3,3,373,926139,11563 11564 11565
A,214,ORDINARY,2,1,1,0,90,90,90,90,1946,1943,-3,3,419,1012271,12435 12436 12437
A,242,ORDINARY,145,144,144,143,90,90,90,90,1945,1941,-4,4,366,1098758,13299 13300 13301
A,267,ORDINARY/APPROACH,120,119,119,118,90,90,90,88,1947,1945,-2,2,472,1129698,13646 13647 13648
B,323,GRILLERS,64,63,63,62,70,60,60,50,1948,1953,+5,5,2005,1248090 1250112,15298 15299 15300 15295 15296 15297
A,355,ORDINARY,33,32,32,31,96,105,105,105,1949,1950,+1,1,403,1617669,17936 17937 17938
A,414,ORDINARY,145,144,144,143,90,90,90,90,1950,1947,-3,3,451,1791186,19687 19688 19689
A,426,ORDINARY,133,132,132,131,90,90,90,90,1951,1946,-5,5,392,1806211,19855 19856 19857
B,495,GRILLERS,64,63,63,62,70,60,60,50,1953,1957,+4,4,2013,1939663 1941655,21673 21674 21675 21670 21671 21672
A,526,ORDINARY,34,33,33,32,90,96,96,105,1959,1963,+4,4,563,2216796,23591 23592 23593
A,586,ORDINARY,145,144,144,143,90,90,90,90,1963,1958,-5,5,380,2391720,25353 25354 25355
A,598,ORDINARY,133,132,132,131,90,90,90,90,1963,1958,-5,5,404,2406768,25521 25522 25523
A,636,ORDINARY,95,94,94,93,90,90,90,90,1954,1950,-4,4,566,2503093,26497 26498 26499
B,667,GRILLERS,64,63,63,62,70,60,60,50,1953,1959,+6,6,1960,2540054 2542118,27365 27366 27367 27362 27363 27364
A,685,ORDINARY,47,46,46,45,90,90,90,90,1963,1966,+3,3,541,2756300,28753 28754 28755
