k0,k1,n_intervals,mm0,mm1,d_level,per_interval,secs,interrupted
0,12,12,40,28,-2,0.17,15.5,0
12,22,10,28,18,+1,0.10,15.0,1
22,39,17,18,1,-1,0.06,70.0,1
39,49,10,1,162,-1,0.10,16.7,1
49,55,6,162,156,+0,0.00,55.6,1
55,67,12,156,144,+16,1.33,15.5,1
67,79,12,144,132,+54,4.50,15.4,0
79,91,12,132,120,+11,0.92,14.8,0
91,92,1,120,119,+0,0.00,1.3,0
92,93,1,119,118,+1,1.00,1.2,1
93,94,1,118,117,+4,4.00,1.1,1
109,122,13,103,90,+3,0.23,16.1,0
122,135,13,90,77,+18,1.38,15.2,0
135,148,13,77,64,+6,0.46,15.8,1
148,149,1,64,63,-5,5.00,1.9,1
149,150,1,63,62,+12,12.00,2.0,1
159,185,26,57,31,-3,0.12,31.0,0
185,197,12,31,19,+4,0.33,15.6,1
197,203,6,19,13,-14,2.33,55.4,1
203,215,12,13,1,+10,0.83,15.1,1
215,225,10,1,162,+0,0.00,16.3,1
225,231,6,162,156,-4,0.67,54.9,1
231,243,12,156,144,+3,0.25,15.3,1
243,255,12,144,132,-2,0.17,15.2,0
255,268,13,132,119,+4,0.31,15.8,0
268,277,9,119,110,-2.5,0.28,15.6,1
277,293,16,110,94,+2.5,0.16,65.6,1
293,320,27,94,67,+6,0.22,30.8,1
320,324,4,67,63,-5,1.25,6.4,1
324,325,1,63,62,+5,5.00,2.0,1
325,327,2,62,60,+188,94.00,42.9,1
329,356,27,59,32,+2,0.07,32.0,0
356,387,31,32,1,+2,0.06,87.2,1
387,397,10,1,162,-1,0.10,16.2,1
397,415,18,162,144,+0,0.00,70.1,1
415,427,12,144,132,+1,0.08,15.0,0
427,449,22,132,110,-1,0.05,31.0,1
449,465,16,110,94,+0,0.00,65.1,1
465,492,27,94,67,+7,0.26,30.9,1
492,496,4,67,63,-4,1.00,6.4,1
496,497,1,63,62,+4,4.00,2.0,1
514,527,13,46,33,+0,0.00,15.0,0
527,540,13,33,20,+4,0.31,15.7,1
540,559,19,20,1,-4,0.21,72.5,1
559,569,10,1,162,+0,0.00,16.4,1
569,587,18,162,144,+4,0.22,70.3,1
587,599,12,144,132,+0,0.00,15.0,0
599,621,22,132,110,+4,0.18,31.1,1
621,637,16,110,94,-13,0.81,65.2,1
637,650,13,94,81,-1,0.08,15.6,0
650,668,18,81,63,+0,0.00,21.4,1
668,669,1,63,62,+6,6.00,2.1,1
673,686,13,59,46,+5,0.38,16.0,0
