prev_mm,next_mm,direction,pass_index,map_mm,ir_mm,pulses,signed_residual_mm,abs_residual_mm,pct_residual,ratio,seconds,offset_ms,unreliable_delta,prev_time,next_time,prev_peak,prev_ratio,prev_resid,prev_obs,prev_gap_ms,prev_duration_ms,next_peak,next_ratio,next_resid,next_obs,next_gap_ms,next_duration_ms
41,42,CW,1,300,308.864,32,8.864,8.864,2.9547,1.029547,1.593,30.9,0,2026-09-20T12:11:50.261-07:00,2026-09-20T12:11:51.854-07:00,219,1.153,0.0703,S,0,233,197,1.037,0.0852,N,1415,178
42,43,CW,1,300,289.56,30,-10.44,10.44,-3.48,0.9652,1.428,30.9,0,2026-09-20T12:11:51.854-07:00,2026-09-20T12:11:53.282-07:00,197,1.037,0.0852,N,1415,178,220,1.158,0.072,S,1253,175
43,44,CW,1,300,308.864,32,8.864,8.864,2.9547,1.029547,1.256,48.9,0,2026-09-20T12:11:53.282-07:00,2026-09-20T12:11:54.538-07:00,220,1.158,0.072,S,1253,175,198,1.042,0.0793,N,1099,157
44,45,CW,1,300,279.908,29,-20.092,20.092,-6.6973,0.933027,1.274,48.9,0,2026-09-20T12:11:54.538-07:00,2026-09-20T12:11:55.812-07:00,198,1.042,0.0793,N,1099,157,222,1.168,0.0689,S,1103,171
45,46,CW,1,300,308.864,32,8.864,8.864,2.9547,1.029547,1.298,24.1,0,2026-09-20T12:11:55.812-07:00,2026-09-20T12:11:57.110-07:00,222,1.168,0.0689,S,1103,171,237,1.247,0.0675,S,1132,166
46,47,CW,1,300,308.864,32,8.864,8.864,2.9547,1.029547,1.243,37.9,0,2026-09-20T12:11:57.110-07:00,2026-09-20T12:11:58.353-07:00,237,1.247,0.0675,S,1132,166,222,1.168,0.0713,S,1076,167
47,48,CW,1,300,289.56,30,-10.44,10.44,-3.48,0.9652,1.261,37.9,0,2026-09-20T12:11:58.353-07:00,2026-09-20T12:11:59.614-07:00,222,1.168,0.0713,S,1076,167,211,1.111,0.0778,N,1104,157
48,49,CW,1,300,299.212,31,-0.788,0.788,-0.2627,0.997373,1.282,22.1,0,2026-09-20T12:11:59.614-07:00,2026-09-20T12:12:00.896-07:00,211,1.111,0.0778,N,1104,157,220,1.0,0.0734,N,1115,167
49,50,CW,1,300,299.212,31,-0.788,0.788,-0.2627,0.997373,1.332,33.1,0,2026-09-20T12:12:00.896-07:00,2026-09-20T12:12:02.228-07:00,220,1.0,0.0734,N,1115,167,199,0.905,0.0763,S,1162,170
50,51,CW,1,300,318.516,33,18.516,18.516,6.172,1.06172,1.324,42.9,0,2026-09-20T12:12:02.228-07:00,2026-09-20T12:12:03.552-07:00,199,0.905,0.0763,S,1162,170,220,1.0,0.0759,N,1167,157
51,52,CW,1,300,279.908,29,-20.092,20.092,-6.6973,0.933027,1.276,42.9,0,2026-09-20T12:12:03.552-07:00,2026-09-20T12:12:04.828-07:00,220,1.0,0.0759,N,1167,157,218,0.991,0.07,S,1107,169
52,53,CW,1,300,308.864,32,8.864,8.864,2.9547,1.029547,1.294,33.1,0,2026-09-20T12:12:04.828-07:00,2026-09-20T12:12:06.122-07:00,218,0.991,0.07,S,1107,169,214,0.973,0.0709,S,1131,163
53,54,CW,1,300,299.212,31,-0.788,0.788,-0.2627,0.997373,1.303,30.1,0,2026-09-20T12:12:06.122-07:00,2026-09-20T12:12:07.425-07:00,214,0.973,0.0709,S,1131,163,224,1.023,0.0731,S,1140,163
54,55,CW,1,300,328.168,34,28.168,28.168,9.3893,1.093893,1.261,108.9,0,2026-09-20T12:12:07.425-07:00,2026-09-20T12:12:08.686-07:00,224,1.023,0.0731,S,1140,163,220,1.0,0.0706,S,1099,161
55,56,CW,1,300,289.56,30,-10.44,10.44,-3.48,0.9652,1.276,108.9,0,2026-09-20T12:12:08.686-07:00,2026-09-20T12:12:09.962-07:00,220,1.0,0.0706,S,1099,161,211,0.959,0.0734,N,1115,161
56,57,CW,1,300,279.908,29,-20.092,20.092,-6.6973,0.933027,1.276,43.1,0,2026-09-20T12:12:09.962-07:00,2026-09-20T12:12:11.238-07:00,211,0.959,0.0734,N,1115,161,213,0.968,0.0771,S,1125,152
57,58,CW,1,295,318.516,33,23.516,23.516,7.9715,1.079715,1.372,43.1,0,2026-09-20T12:12:11.238-07:00,2026-09-20T12:12:12.610-07:00,213,0.968,0.0771,S,1125,152,224,1.023,0.066,S,1207,165
58,59,CW,1,320,328.168,34,8.168,8.168,2.5525,1.025525,1.294,93.9,0,2026-09-20T12:12:12.610-07:00,2026-09-20T12:12:13.904-07:00,224,1.023,0.066,S,1207,165,244,1.109,0.0722,N,1112,182
59,60,CW,1,300,299.212,31,-0.788,0.788,-0.2627,0.997373,1.548,93.9,0,2026-09-20T12:12:13.904-07:00,2026-09-20T12:12:15.452-07:00,244,1.109,0.0722,N,1112,182,217,0.986,0.0766,S,1354,194
60,61,CW,1,315,318.516,33,3.516,3.516,1.1162,1.011162,1.628,46.9,0,2026-09-20T12:12:15.452-07:00,2026-09-20T12:12:17.080-07:00,217,0.986,0.0766,S,1354,194,232,1.055,0.0698,N,1444,183
61,62,CW,1,320,318.516,33,-1.484,1.484,-0.4638,0.995362,1.772,47.9,0,2026-09-20T12:12:17.080-07:00,2026-09-20T12:12:18.852-07:00,232,1.055,0.0698,N,1444,183,218,0.991,0.0791,S,1545,227
62,63,CW,1,315,279.908,29,-35.092,35.092,-11.1403,0.888597,1.746,47.9,0,2026-09-20T12:12:18.852-07:00,2026-09-20T12:12:20.598-07:00,218,0.991,0.0791,S,1545,227,250,1.136,0.0644,N,1510,236
63,64,CW,1,325,337.82,35,12.82,12.82,3.9446,1.039446,1.72,82.9,0,2026-09-20T12:12:20.598-07:00,2026-09-20T12:12:22.318-07:00,250,1.136,0.0644,N,1510,236,219,0.995,0.0771,S,1489,231
66,67,CW,1,300,308.864,32,8.864,8.864,2.9547,1.029547,1.541,37.9,0,2026-09-20T12:12:25.926-07:00,2026-09-20T12:12:27.467-07:00,188,0.858,0.0568,N,1536,185,164,0.749,0.0722,S,1352,189
67,68,CW,1,305,318.516,33,13.516,13.516,4.4315,1.044315,1.492,47.9,0,2026-09-20T12:12:27.467-07:00,2026-09-20T12:12:28.959-07:00,164,0.749,0.0722,S,1352,189,186,0.849,0.0573,S,1306,185
68,69,CW,1,300,270.256,28,-29.744,29.744,-9.9147,0.900853,1.516,68.1,0,2026-09-20T12:12:28.959-07:00,2026-09-20T12:12:30.475-07:00,186,0.849,0.0573,S,1306,185,184,0.84,0.062,N,1337,179
69,70,CW,1,300,318.516,33,18.516,18.516,6.172,1.06172,1.539,68.1,0,2026-09-20T12:12:30.475-07:00,2026-09-20T12:12:32.014-07:00,184,0.84,0.062,N,1337,179,166,0.761,0.0667,S,1357,182
70,71,CW,1,295,289.56,30,-5.44,5.44,-1.8441,0.981559,1.428,32.1,0,2026-09-20T12:12:32.014-07:00,2026-09-20T12:12:33.442-07:00,166,0.761,0.0667,S,1357,182,178,0.817,0.0724,N,1252,176
71,72,CW,1,295,308.864,32,13.864,13.864,4.6997,1.046997,1.45,32.1,0,2026-09-20T12:12:33.442-07:00,2026-09-20T12:12:34.892-07:00,178,0.817,0.0724,N,1252,176,179,0.821,0.0636,S,1274,176
72,73,CW,1,300,299.212,31,-0.788,0.788,-0.2627,0.997373,1.643,23.1,0,2026-09-20T12:12:34.892-07:00,2026-09-20T12:12:36.535-07:00,179,0.821,0.0636,S,1274,176,181,0.834,0.0594,N,1410,233
73,74,CW,1,300,308.864,32,8.864,8.864,2.9547,1.029547,1.866,23.1,0,2026-09-20T12:12:36.535-07:00,2026-09-20T12:12:38.401-07:00,181,0.834,0.0594,N,1410,233,190,0.876,0.0572,N,1623,243
