#slotIndex,0
#slotTotal,6
#polarity,1
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,220
#decimation,1
#peakCounts,179
#gain,213
#amplitudeRatio,0.8403756022453308
#residual,0.06383610516786575
#gapMs,1366
#openedAtMs,748828
#closedAtMs,749035
#outcomeName,MAGNET
sample_index,counts
0,28
1,26
2,30
3,30
4,30
5,30
6,36
7,30
8,33
9,34
10,29
11,34
12,39
13,34
14,40
15,39
16,40
17,40
18,39
19,39
20,43
21,39
22,41
23,39
24,51
25,49
26,57
27,49
28,53
29,57
30,61
31,56
32,66
33,61
34,67
35,62
36,71
37,69
38,39
39,71
40,72
41,71
42,77
43,72
44,76
45,78
46,85
47,82
48,85
49,86
50,87
51,88
52,90
53,113
54,104
55,97
56,83
57,100
58,98
59,103
60,108
61,105
62,110
63,113
64,118
65,115
66,103
67,116
68,123
69,121
70,117
71,124
72,132
73,133
74,185
75,134
76,136
77,135
78,152
79,138
80,142
81,144
82,148
83,149
84,151
85,150
86,153
87,152
88,156
89,154
90,156
91,157
92,135
93,180
94,165
95,164
96,167
97,166
98,169
99,167
100,172
101,168
102,169
103,172
104,176
105,171
106,173
107,174
108,177
109,177
110,176
111,174
112,178
113,172
114,181
115,179
116,179
117,177
118,179
119,176
120,177
121,167
122,167
123,179
124,188
125,169
126,169
127,167
128,174
129,167
130,169
131,167
132,163
133,167
134,167
135,162
136,167
137,162
138,162
139,158
140,151
141,154
142,151
143,150
144,147
145,145
146,150
147,147
148,145
149,146
150,148
151,141
152,148
153,136
154,135
155,134
156,135
157,130
158,128
159,121
160,120
161,118
162,114
163,118
164,94
165,108
166,122
167,103
168,102
169,99
170,100
171,94
172,92
173,92
174,76
175,85
176,84
177,81
178,80
179,76
180,74
181,71
182,71
183,69
184,70
185,64
186,64
187,60
188,63
189,53
190,55
191,50
192,39
193,54
194,46
195,41
196,46
197,40
198,41
199,38
200,16
201,33
202,39
203,32
204,34
205,21
206,32
207,23
208,24
209,21
210,25
211,17
212,21
213,20
214,17
215,15
216,14
217,10
218,9
219,8
