#slotIndex,3
#slotTotal,6
#polarity,0
#outcome,3
#isMagnet,0
#shapeTested,1
#sampleCount,287
#decimation,128
#peakCounts,157
#gain,213
#amplitudeRatio,0.737089216709137
#residual,0.3825373649597168
#gapMs,5067
#openedAtMs,706844
#closedAtMs,743533
#outcomeName,WRONG_SHAPE
sample_index,counts
0,29
1,38
2,39
3,41
4,44
5,40
6,44
7,41
8,40
9,38
10,40
11,49
12,46
13,43
14,45
15,40
16,43
17,40
18,38
19,40
20,42
21,39
22,42
23,41
24,43
25,45
26,40
27,40
28,39
29,42
30,46
31,39
32,38
33,41
34,38
35,32
36,41
37,44
38,46
39,40
40,40
41,39
42,44
43,38
44,40
45,44
46,46
47,39
48,42
49,42
50,44
51,42
52,41
53,44
54,46
55,42
56,39
57,40
58,46
59,39
60,40
61,37
62,45
63,41
64,42
65,38
66,43
67,41
68,41
69,42
70,46
71,42
72,40
73,41
74,41
75,40
76,40
77,42
78,44
79,43
80,40
81,40
82,48
83,43
84,45
85,39
86,38
87,40
88,41
89,39
90,40
91,42
92,44
93,42
94,44
95,38
96,43
97,42
98,39
99,40
100,50
101,43
102,40
103,40
104,40
105,39
106,45
107,44
108,40
109,40
110,40
111,41
112,40
113,40
114,38
115,42
116,39
117,40
118,-1
119,40
120,39
121,39
122,39
123,45
124,45
125,41
126,36
127,38
128,44
129,39
130,38
131,44
132,40
133,42
134,39
135,41
136,42
137,42
138,36
139,43
140,40
141,40
142,38
143,40
144,40
145,39
146,40
147,40
148,41
149,43
150,40
151,42
152,41
153,38
154,42
155,38
156,39
157,40
158,43
159,42
160,42
161,42
162,40
163,41
164,42
165,40
166,39
167,39
168,39
169,39
170,47
171,39
172,40
173,39
174,47
175,43
176,38
177,43
178,45
179,42
180,42
181,41
182,44
183,40
184,42
185,34
186,45
187,44
188,42
189,37
190,40
191,40
192,42
193,42
194,39
195,43
196,39
197,40
198,41
199,40
200,42
201,40
202,40
203,40
204,42
205,47
206,38
207,42
208,41
209,45
210,42
211,40
212,41
213,42
214,43
215,38
216,39
217,44
218,42
219,38
220,40
221,44
222,39
223,44
224,41
225,42
226,43
227,39
228,40
229,39
230,43
231,39
232,40
233,40
234,40
235,42
236,39
237,40
238,40
239,41
240,40
241,45
242,39
243,38
244,39
245,48
246,39
247,46
248,40
249,45
250,40
251,39
252,41
253,45
254,39
255,42
256,43
257,45
258,38
259,40
260,42
261,45
262,41
263,43
264,40
265,47
266,40
267,41
268,42
269,46
270,41
271,40
272,46
273,46
274,40
275,40
276,42
277,46
278,39
279,41
280,44
281,66
282,94
283,149
284,189
285,157
286,64
