#slotIndex,1
#slotTotal,6
#polarity,0
#outcome,1
#isMagnet,0
#shapeTested,0
#sampleCount,456
#decimation,8
#peakCounts,236
#gain,175
#amplitudeRatio,1.3485714197158813
#residual,0.0
#gapMs,57
#openedAtMs,806569
#closedAtMs,810197
#outcomeName,TOO_SOON
sample_index,counts
0,29
1,36
2,43
3,46
4,53
5,56
6,58
7,53
8,66
9,59
10,62
11,60
12,62
13,64
14,63
15,59
16,62
17,59
18,64
19,61
20,59
21,62
22,57
23,57
24,58
25,57
26,61
27,58
28,58
29,56
30,56
31,57
32,57
33,56
34,54
35,54
36,54
37,54
38,54
39,57
40,58
41,54
42,52
43,50
44,50
45,53
46,52
47,52
48,55
49,49
50,49
51,59
52,55
53,56
54,50
55,48
56,47
57,48
58,46
59,50
60,48
61,49
62,48
63,50
64,60
65,48
66,46
67,49
68,48
69,46
70,47
71,46
72,48
73,49
74,45
75,45
76,47
77,56
78,48
79,46
80,46
81,45
82,45
83,46
84,49
85,47
86,46
87,49
88,46
89,44
90,52
91,49
92,45
93,48
94,47
95,45
96,43
97,46
98,45
99,48
100,46
101,46
102,48
103,44
104,43
105,46
106,46
107,44
108,47
109,47
110,46
111,45
112,46
113,46
114,48
115,52
116,45
117,46
118,46
119,45
120,43
121,46
122,46
123,43
124,44
125,54
126,47
127,45
128,54
129,44
130,45
131,44
132,39
133,46
134,54
135,56
136,50
137,50
138,52
139,47
140,52
141,49
142,48
143,44
144,44
145,44
146,46
147,44
148,45
149,45
150,45
151,45
152,45
153,47
154,53
155,43
156,45
157,48
158,45
159,47
160,45
161,46
162,48
163,44
164,44
165,45
166,45
167,44
168,46
169,45
170,47
171,46
172,44
173,46
174,46
175,45
176,44
177,46
178,46
179,54
180,47
181,49
182,43
183,52
184,46
185,44
186,46
187,48
188,44
189,43
190,46
191,45
192,48
193,49
194,46
195,43
196,45
197,45
198,43
199,45
200,48
201,48
202,45
203,43
204,44
205,50
206,59
207,43
208,44
209,45
210,54
211,45
212,45
213,44
214,44
215,48
216,46
217,43
218,50
219,48
220,44
221,44
222,44
223,45
224,43
225,46
226,45
227,56
228,46
229,44
230,45
231,45
232,44
233,44
234,43
235,44
236,44
237,46
238,46
239,44
240,44
241,42
242,44
243,48
244,43
245,43
246,40
247,44
248,43
249,42
250,43
251,43
252,43
253,43
254,43
255,42
256,48
257,42
258,43
259,49
260,48
261,52
262,46
263,52
264,54
265,55
266,57
267,59
268,66
269,79
270,91
271,104
272,119
273,139
274,157
275,180
276,197
277,210
278,222
279,229
280,232
281,236
282,234
283,251
284,222
285,210
286,195
287,181
288,158
289,139
290,118
291,97
292,84
293,65
294,57
295,43
296,40
297,37
298,36
299,32
300,32
301,33
302,34
303,34
304,33
305,38
306,37
307,43
308,40
309,39
310,41
311,39
312,41
313,42
314,40
315,43
316,42
317,45
318,43
319,42
320,49
321,49
322,42
323,43
324,43
325,45
326,44
327,44
328,45
329,45
330,43
331,45
332,45
333,43
334,44
335,43
336,43
337,45
338,45
339,44
340,44
341,44
342,50
343,46
344,47
345,44
346,48
347,53
348,43
349,44
350,44
351,44
352,43
353,45
354,45
355,45
356,44
357,45
358,53
359,44
360,44
361,45
362,46
363,46
364,46
365,44
366,45
367,47
368,45
369,45
370,47
371,49
372,52
373,52
374,44
375,13
376,47
377,48
378,46
379,46
380,47
381,50
382,47
383,46
384,52
385,52
386,48
387,48
388,46
389,52
390,51
391,52
392,48
393,47
394,43
395,47
396,44
397,43
398,45
399,44
400,47
401,46
402,45
403,44
404,43
405,46
406,47
407,52
408,45
409,46
410,54
411,52
412,46
413,46
414,49
415,48
416,46
417,46
418,48
419,45
420,46
421,48
422,56
423,46
424,49
425,46
426,45
427,44
428,57
429,46
430,49
431,48
432,49
433,47
434,48
435,55
436,55
437,54
438,49
439,49
440,46
441,48
442,53
443,49
444,57
445,54
446,54
447,52
448,52
449,48
450,46
451,42
452,40
453,27
454,20
455,6
