#slotIndex,5
#slotTotal,6
#polarity,1
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,299
#decimation,1
#peakCounts,201
#gain,181
#amplitudeRatio,1.110497236251831
#residual,0.08341718465089798
#gapMs,2461
#openedAtMs,759636
#closedAtMs,759922
#outcomeName,MAGNET
sample_index,counts
0,26
1,26
2,29
3,29
4,32
5,33
6,29
7,34
8,35
9,36
10,35
11,35
12,39
13,28
14,20
15,41
16,41
17,44
18,44
19,44
20,48
21,48
22,51
23,51
24,51
25,51
26,54
27,52
28,54
29,57
30,69
31,67
32,67
33,64
34,68
35,68
36,70
37,74
38,74
39,77
40,77
41,78
42,80
43,81
44,82
45,83
46,83
47,84
48,83
49,89
50,93
51,94
52,89
53,97
54,98
55,99
56,100
57,104
58,104
59,103
60,105
61,109
62,114
63,104
64,105
65,108
66,113
67,114
68,115
69,116
70,117
71,116
72,116
73,121
74,125
75,131
76,134
77,136
78,137
79,137
80,134
81,141
82,141
83,142
84,145
85,147
86,146
87,147
88,147
89,151
90,152
91,153
92,156
93,153
94,160
95,158
96,160
97,161
98,163
99,165
100,166
101,165
102,168
103,168
104,169
105,170
106,172
107,175
108,174
109,177
110,177
111,176
112,178
113,176
114,179
115,179
116,181
117,179
118,182
119,181
120,182
121,185
122,184
123,185
124,183
125,186
126,185
127,184
128,188
129,190
130,189
131,188
132,185
133,192
134,190
135,194
136,191
137,192
138,192
139,194
140,194
141,193
142,200
143,200
144,198
145,192
146,200
147,194
148,200
149,201
150,201
151,200
152,200
153,199
154,200
155,200
156,201
157,194
158,194
159,200
160,200
161,194
162,194
163,193
164,194
165,200
166,185
167,186
168,186
169,185
170,185
171,194
172,193
173,193
174,193
175,192
176,189
177,189
178,188
179,188
180,188
181,186
182,186
183,188
184,185
185,185
186,183
187,182
188,181
189,181
190,180
191,179
192,179
193,179
194,178
195,179
196,177
197,176
198,174
199,173
200,170
201,172
202,172
203,169
204,167
205,166
206,166
207,164
208,164
209,161
210,160
211,159
212,156
213,158
214,151
215,150
216,150
217,150
218,147
219,147
220,147
221,146
222,143
223,143
224,142
225,137
226,136
227,136
228,131
229,133
230,129
231,128
232,124
233,124
234,121
235,117
236,118
237,116
238,115
239,112
240,110
241,110
242,108
243,102
244,103
245,104
246,101
247,97
248,95
249,89
250,88
251,89
252,86
253,85
254,84
255,83
256,82
257,77
258,78
259,77
260,73
261,72
262,68
263,67
264,66
265,63
266,62
267,62
268,51
269,50
270,50
271,51
272,48
273,43
274,45
275,40
276,40
277,40
278,36
279,36
280,34
281,25
282,8
283,26
284,34
285,33
286,30
287,31
288,26
289,25
290,22
291,22
292,19
293,20
294,20
295,19
296,18
297,19
298,15
