#slotIndex,1
#slotTotal,6
#polarity,1
#outcome,3
#isMagnet,0
#shapeTested,1
#sampleCount,295
#decimation,128
#peakCounts,225
#gain,204
#amplitudeRatio,1.1029411554336548
#residual,0.27729761600494385
#gapMs,4101
#openedAtMs,1520712
#closedAtMs,1558445
#outcomeName,WRONG_SHAPE
sample_index,counts
0,30
1,65
2,104
3,155
4,192
5,225
6,217
7,232
8,217
9,205
10,197
11,184
12,171
13,167
14,160
15,166
16,161
17,164
18,159
19,166
20,164
21,158
22,166
23,162
24,164
25,165
26,165
27,162
28,162
29,159
30,160
31,161
32,164
33,165
34,118
35,161
36,164
37,160
38,168
39,163
40,165
41,162
42,166
43,164
44,165
45,166
46,165
47,164
48,165
49,162
50,162
51,159
52,162
53,168
54,165
55,166
56,162
57,164
58,168
59,165
60,171
61,164
62,165
63,161
64,166
65,161
66,165
67,164
68,162
69,162
70,165
71,162
72,164
73,163
74,165
75,156
76,160
77,165
78,166
79,165
80,164
81,162
82,165
83,165
84,166
85,161
86,162
87,160
88,162
89,165
90,164
91,165
92,166
93,168
94,171
95,165
96,166
97,165
98,164
99,165
100,163
101,156
102,162
103,165
104,164
105,155
106,161
107,161
108,166
109,156
110,166
111,164
112,162
113,156
114,159
115,160
116,166
117,158
118,166
119,164
120,158
121,156
122,165
123,157
124,167
125,157
126,167
127,166
128,165
129,157
130,165
131,166
132,165
133,156
134,165
135,167
136,164
137,160
138,165
139,166
140,152
141,161
142,165
143,164
144,162
145,157
146,156
147,162
148,157
149,158
150,162
151,162
152,165
153,160
154,158
155,167
156,166
157,157
158,164
159,164
160,162
161,166
162,161
163,164
164,164
165,157
166,165
167,166
168,165
169,157
170,166
171,161
172,166
173,158
174,164
175,165
176,162
177,156
178,165
179,162
180,162
181,166
182,162
183,162
184,165
185,164
186,164
187,164
188,165
189,166
190,164
191,164
192,160
193,160
194,165
195,168
196,161
197,160
198,166
199,168
200,166
201,162
202,162
203,165
204,164
205,164
206,162
207,164
208,165
209,160
210,163
211,161
212,165
213,160
214,165
215,162
216,162
217,159
218,163
219,166
220,164
221,156
222,162
223,168
224,165
225,162
226,162
227,162
228,165
229,165
230,162
231,157
232,158
233,165
234,164
235,165
236,164
237,167
238,159
239,166
240,158
241,165
242,166
243,162
244,164
245,161
246,166
247,165
248,157
249,166
250,168
251,164
252,166
253,168
254,162
255,166
256,164
257,165
258,165
259,165
260,165
261,162
262,165
263,155
264,165
265,165
266,164
267,164
268,164
269,164
270,158
271,162
272,165
273,167
274,166
275,165
276,165
277,158
278,166
279,161
280,161
281,169
282,162
283,165
284,164
285,159
286,164
287,154
288,161
289,166
290,162
291,156
292,126
293,104
294,75
