#slotIndex,5
#slotTotal,6
#polarity,1
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,206
#decimation,1
#peakCounts,233
#gain,204
#amplitudeRatio,1.1421568393707275
#residual,0.07011447846889496
#gapMs,1506
#openedAtMs,1510461
#closedAtMs,1510654
#outcomeName,MAGNET
sample_index,counts
0,16
1,18
2,18
3,20
4,24
5,26
6,24
7,25
8,28
9,28
10,32
11,30
12,38
13,37
14,39
15,40
16,39
17,45
18,42
19,50
20,51
21,50
22,56
23,56
24,54
25,61
26,71
27,71
28,72
29,76
30,76
31,82
32,83
33,85
34,87
35,90
36,93
37,97
38,98
39,103
40,103
41,109
42,109
43,113
44,114
45,120
46,120
47,125
48,130
49,131
50,136
51,135
52,121
53,136
54,137
55,145
56,145
57,155
58,157
59,158
60,164
61,166
62,168
63,167
64,172
65,173
66,177
67,180
68,182
69,182
70,186
71,188
72,193
73,190
74,194
75,199
76,199
77,199
78,200
79,202
80,204
81,209
82,210
83,210
84,211
85,212
86,213
87,222
88,220
89,222
90,222
91,226
92,226
93,222
94,228
95,229
96,230
97,230
98,231
99,231
100,231
101,231
102,231
103,231
104,231
105,231
106,233
107,231
108,233
109,231
110,231
111,232
112,231
113,231
114,232
115,231
116,231
117,231
118,230
119,230
120,230
121,229
122,225
123,226
124,222
125,221
126,220
127,221
128,214
129,213
130,210
131,199
132,209
133,204
134,204
135,203
136,200
137,199
138,199
139,198
140,193
141,192
142,190
143,183
144,183
145,180
146,178
147,176
148,173
149,171
150,169
151,166
152,164
153,160
154,148
155,148
156,145
157,138
158,138
159,135
160,132
161,132
162,115
163,123
164,119
165,112
166,110
167,104
168,114
169,106
170,104
171,102
172,99
173,97
174,91
175,87
176,83
177,80
178,74
179,72
180,71
181,66
182,66
183,58
184,56
185,54
186,51
187,50
188,43
189,42
190,39
191,39
192,35
193,32
194,32
195,25
196,27
197,23
198,23
199,22
200,20
201,19
202,14
203,10
204,11
205,9
