#slotIndex,1
#slotTotal,6
#polarity,1
#outcome,1
#isMagnet,0
#shapeTested,0
#sampleCount,324
#decimation,8
#peakCounts,247
#gain,190
#amplitudeRatio,1.2999999523162842
#residual,0.0
#gapMs,27
#openedAtMs,4364943
#closedAtMs,4367518
#outcomeName,TOO_SOON
sample_index,counts
0,19
1,33
2,45
3,53
4,64
5,69
6,76
7,70
8,78
9,78
10,77
11,85
12,74
13,78
14,78
15,81
16,81
17,78
18,77
19,76
20,76
21,76
22,68
23,74
24,73
25,74
26,73
27,67
28,67
29,70
30,73
31,70
32,69
33,69
34,69
35,68
36,69
37,70
38,67
39,67
40,61
41,69
42,67
43,67
44,69
45,67
46,67
47,69
48,68
49,69
50,67
51,67
52,67
53,65
54,69
55,70
56,68
57,67
58,63
59,68
60,68
61,68
62,67
63,67
64,68
65,68
66,60
67,72
68,68
69,67
70,58
71,65
72,65
73,62
74,64
75,64
76,62
77,67
78,64
79,68
80,67
81,69
82,68
83,68
84,67
85,68
86,68
87,68
88,72
89,67
90,67
91,62
92,68
93,67
94,67
95,67
96,68
97,66
98,67
99,67
100,67
101,68
102,68
103,66
104,62
105,67
106,66
107,67
108,67
109,66
110,67
111,67
112,66
113,66
114,65
115,66
116,67
117,68
118,67
119,65
120,64
121,67
122,67
123,67
124,67
125,68
126,65
127,66
128,67
129,61
130,58
131,67
132,60
133,63
134,64
135,60
136,61
137,64
138,61
139,64
140,67
141,66
142,56
143,60
144,66
145,66
146,66
147,64
148,66
149,65
150,65
151,66
152,62
153,63
154,60
155,57
156,66
157,64
158,65
159,62
160,61
161,63
162,64
163,62
164,64
165,64
166,66
167,67
168,68
169,81
170,86
171,98
172,116
173,132
174,154
175,180
176,205
177,225
178,240
179,247
180,245
181,258
182,245
183,238
184,228
185,206
186,183
187,160
188,136
189,112
190,90
191,80
192,67
193,52
194,61
195,54
196,55
197,57
198,54
199,58
200,56
201,58
202,62
203,59
204,64
205,62
206,54
207,64
208,62
209,64
210,64
211,64
212,68
213,67
214,65
215,64
216,66
217,64
218,65
219,59
220,60
221,61
222,66
223,67
224,67
225,67
226,67
227,66
228,67
229,66
230,67
231,66
232,61
233,62
234,68
235,65
236,67
237,66
238,68
239,67
240,68
241,67
242,67
243,66
244,66
245,66
246,66
247,68
248,67
249,67
250,66
251,67
252,68
253,67
254,68
255,65
256,68
257,58
258,58
259,62
260,66
261,61
262,62
263,66
264,62
265,63
266,68
267,69
268,67
269,69
270,62
271,65
272,67
273,66
274,67
275,62
276,66
277,67
278,67
279,62
280,67
281,68
282,67
283,54
284,63
285,67
286,68
287,67
288,67
289,67
290,68
291,68
292,66
293,67
294,66
295,68
296,70
297,66
298,69
299,66
300,70
301,67
302,69
303,69
304,70
305,67
306,71
307,69
308,70
309,72
310,70
311,72
312,72
313,71
314,73
315,71
316,72
317,70
318,68
319,66
320,54
321,41
322,34
323,13
