#slotIndex,2
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,191
#decimation,1
#peakCounts,139
#gain,190
#amplitudeRatio,0.7315789461135864
#residual,0.1039457619190216
#gapMs,0
#openedAtMs,4364738
#closedAtMs,4364916
#outcomeName,MAGNET
sample_index,counts
0,11
1,14
2,17
3,18
4,21
5,21
6,26
7,28
8,29
9,29
10,34
11,33
12,43
13,40
14,40
15,41
16,43
17,46
18,47
19,53
20,51
21,52
22,54
23,58
24,62
25,64
26,62
27,68
28,69
29,67
30,74
31,75
32,75
33,77
34,76
35,79
36,84
37,86
38,82
39,89
40,84
41,92
42,92
43,93
44,96
45,102
46,104
47,106
48,107
49,94
50,112
51,109
52,111
53,112
54,112
55,112
56,110
57,111
58,113
59,113
60,118
61,118
62,121
63,121
64,123
65,123
66,124
67,125
68,127
69,127
70,129
71,130
72,128
73,132
74,133
75,133
76,130
77,136
78,136
79,137
80,138
81,138
82,134
83,139
84,139
85,139
86,138
87,139
88,139
89,139
90,139
91,139
92,139
93,139
94,139
95,139
96,138
97,139
98,139
99,140
100,139
101,139
102,139
103,139
104,139
105,138
106,139
107,139
108,136
109,135
110,137
111,137
112,139
113,139
114,139
115,138
116,138
117,135
118,136
119,136
120,135
121,132
122,130
123,133
124,128
125,129
126,125
127,123
128,122
129,121
130,118
131,118
132,118
133,116
134,114
135,113
136,110
137,107
138,107
139,107
140,108
141,107
142,104
143,102
144,104
145,97
146,97
147,96
148,92
149,94
150,88
151,87
152,86
153,84
154,81
155,84
156,76
157,77
158,75
159,73
160,72
161,69
162,68
163,65
164,61
165,61
166,60
167,58
168,58
169,53
170,53
171,47
172,46
173,43
174,8
175,43
176,40
177,38
178,34
179,31
180,28
181,27
182,20
183,21
184,21
185,15
186,12
187,11
188,11
189,10
190,7
