#slotIndex,5
#slotTotal,6
#polarity,1
#outcome,3
#isMagnet,0
#shapeTested,1
#sampleCount,261
#decimation,4
#peakCounts,84
#gain,190
#amplitudeRatio,0.4421052634716034
#residual,0.21079593896865845
#gapMs,0
#openedAtMs,2338
#closedAtMs,3378
#outcomeName,WRONG_SHAPE
sample_index,counts
0,53
1,55
2,59
3,53
4,58
5,53
6,56
7,53
8,54
9,50
10,62
11,56
12,54
13,52
14,44
15,52
16,85
17,84
18,82
19,83
20,82
21,82
22,81
23,83
24,83
25,80
26,81
27,83
28,80
29,81
30,83
31,79
32,81
33,82
34,82
35,-45
36,82
37,80
38,80
39,80
40,80
41,80
42,80
43,82
44,82
45,79
46,78
47,76
48,78
49,76
50,76
51,74
52,71
53,66
54,26
55,3
56,-84
57,-29
58,-38
59,-59
60,-57
61,-145
62,83
63,82
64,79
65,83
66,82
67,79
68,81
69,80
70,82
71,80
72,79
73,80
74,79
75,82
76,83
77,81
78,84
79,80
80,80
81,79
82,80
83,74
84,80
85,81
86,-187
87,83
88,84
89,80
90,80
91,79
92,79
93,82
94,82
95,80
96,82
97,81
98,82
99,80
100,79
101,82
102,75
103,79
104,79
105,80
106,82
107,80
108,80
109,79
110,79
111,80
112,-184
113,-135
114,-81
115,84
116,80
117,83
118,73
119,82
120,81
121,80
122,80
123,82
124,80
125,82
126,80
127,81
128,80
129,78
130,79
131,78
132,80
133,79
134,79
135,80
136,82
137,-123
138,-64
139,81
140,69
141,82
142,79
143,79
144,80
145,80
146,80
147,80
148,82
149,79
150,79
151,79
152,82
153,83
154,80
155,80
156,82
157,82
158,83
159,80
160,80
161,81
162,80
163,-124
164,-75
165,-128
166,83
167,85
168,-27
169,-123
170,-125
171,-165
172,-118
173,-198
174,-148
175,-85
176,-166
177,-104
178,-123
179,-139
180,-155
181,-174
182,-155
183,-166
184,-155
185,-225
186,-77
187,-95
188,-189
189,-207
190,-52
191,-35
192,-11
193,82
194,82
195,81
196,82
197,81
198,80
199,80
200,80
201,80
202,80
203,80
204,80
205,76
206,79
207,80
208,82
209,81
210,78
211,82
212,80
213,82
214,-50
215,-45
216,-93
217,-95
218,-44
219,80
220,82
221,82
222,84
223,81
224,82
225,80
226,79
227,83
228,79
229,79
230,80
231,80
232,73
233,80
234,82
235,80
236,78
237,82
238,82
239,82
240,-24
241,82
242,81
243,80
244,80
245,79
246,80
247,-106
248,-107
249,-17
250,-20
251,-25
252,-52
253,-142
254,-187
255,-173
256,-107
257,-107
258,8
259,18
260,19
