
PY          passxception:-fixed:+4}"}  "
FILE: /home/david/NGR/telemetry/runs/9950011_20260914_143544.log
TIME      MM   PWM   FIXED  SHADOW  DIFF
14:35:44   40    0   1949    1936   -13
14:35:45   40    0   1949    1936   -13
14:35:46   40    0   1949    1936   -13
14:35:47   40    0   1949    1936   -13
14:35:48   40    0   1949    1936   -13
14:35:49   40    0   1949    1936   -13
14:35:50   40    0   1949    1936   -13
14:35:51   40    0   1949    1936   -13
14:35:52   40    0   1949    1936   -13
14:35:53   40    0   1949    1936   -13
14:35:54   40    0   1949    1936   -13
14:35:55   40    0   1949    1936   -13
14:35:56   40    0   1949    1936   -13
14:35:57   40    0   1949    1936   -13
14:35:58   40    0   1949    1936   -13
14:35:59   40    0   1949    1936   -13
14:36:00   40    0   1949    1936   -13
14:36:01   40    0   1949    1936   -13
14:36:02   40    0   1949    1936   -13
14:36:03   40    0   1949    1936   -13
14:36:04   40    0   1949    1936   -13
14:36:05   40    0   1949    1936   -13
14:36:06   40    0   1949    1936   -13
14:36:07   40    0   1949    1936   -13
14:36:08   40    0   1949    1936   -13
14:36:09   40    0   1949    1936   -13
14:36:10   40    0   1949    1936   -13
14:36:11   40    0   1949    1936   -13
14:36:12   40    0   1949    1936   -13
14:36:13   40    0   1949    1936   -13
14:36:14   40    0   1949    1936   -13
14:36:15   40    0   1949    1936   -13
14:36:16   40    0   1949    1936   -13
14:36:17   40    0   1949    1936   -13
14:36:18   40    0   1949    1936   -13
14:36:19   40    0   1949    1936   -13
14:36:20   40    0   1949    1936   -13
14:36:21   40    0   1949    1936   -13
14:36:22   40    0   1949    1936   -13
14:36:23   40    0   1949    1936   -13
14:36:24   40    0   1949    1936   -13
14:36:25   40    0   1949    1936   -13
14:36:26   40    0   1949    1936   -13
14:36:27   40    0   1949    1936   -13
14:36:28   40    0   1949    1936   -13
14:36:29   40    0   1949    1936   -13
14:36:30   40    0   1949    1936   -13
14:36:31   40    0   1949    1936   -13
14:36:32   40    0   1949    1936   -13
14:36:33   40    0   1949    1936   -13
14:36:34   40    0   1949    1936   -13
14:36:35   40    0   1949    1936   -13
